"Source Name","Program Name",Date/Time,"Data Source"
software,"Ethereal 0.10.6 v.0.10.6","2004-08-27 15:29:19 CEST","4Dell Latitude CPi.E01"
software,"WinPcap 3.01 alpha","2004-08-27 15:15:19 CEST","4Dell Latitude CPi.E01"
software,"Network Stumbler 0.4.0 (remove only)","2004-08-27 15:12:15 CEST","4Dell Latitude CPi.E01"
software,"Look@LAN 2.50 Build 29","2004-08-25 15:56:11 CEST","4Dell Latitude CPi.E01"
software,"123 Write All Stored Passwords","2004-08-20 15:13:08 CEST","4Dell Latitude CPi.E01"
software,"Powertoys For Windows XP v.1.00.0000","2004-08-20 15:12:43 CEST","4Dell Latitude CPi.E01"
software,mIRC,"2004-08-20 15:10:04 CEST","4Dell Latitude CPi.E01"
software,CuteHTML,"2004-08-20 15:09:03 CEST","4Dell Latitude CPi.E01"
software,CuteFTP,"2004-08-20 15:09:02 CEST","4Dell Latitude CPi.E01"
software,"Forté Agent","2004-08-20 15:08:19 CEST","4Dell Latitude CPi.E01"
software,"Faber Toys v.2.4 Build 216","2004-08-20 15:07:25 CEST","4Dell Latitude CPi.E01"
software,"Cain & Abel v2.5 beta45","2004-08-20 15:05:58 CEST","4Dell Latitude CPi.E01"
software,"Anonymizer Bar 2.0 (remove only)","2004-08-20 15:05:09 CEST","4Dell Latitude CPi.E01"
software,"WebFldrs XP v.9.50.5318","2004-08-19 23:04:50 CEST","4Dell Latitude CPi.E01"
software,"Microsoft NetShow Player 2.0","2004-08-19 23:04:36 CEST","4Dell Latitude CPi.E01"
software,MPlayer2,"2004-08-19 23:04:36 CEST","4Dell Latitude CPi.E01"
software,Branding,"2004-08-19 22:37:31 CEST","4Dell Latitude CPi.E01"
software,PCHealth,"2004-08-19 22:32:06 CEST","4Dell Latitude CPi.E01"
software,DirectAnimation,"2004-08-19 22:31:52 CEST","4Dell Latitude CPi.E01"
software,NetMeeting,"2004-08-19 22:31:52 CEST","4Dell Latitude CPi.E01"
software,AddressBook,"2004-08-19 22:31:51 CEST","4Dell Latitude CPi.E01"
software,ICW,"2004-08-19 22:31:51 CEST","4Dell Latitude CPi.E01"
software,OutlookExpress,"2004-08-19 22:31:51 CEST","4Dell Latitude CPi.E01"
software,DirectDrawEx,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,Fontcore,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,IE40,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,IE4Data,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,IE5BAKEX,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,IEData,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,MobileOptionPack,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,SchedulingAgent,"2004-08-19 22:31:32 CEST","4Dell Latitude CPi.E01"
software,"Connection Manager","2004-08-19 22:21:41 CEST","4Dell Latitude CPi.E01"
